id	name
1	Route Code
2	Number of Accepted Transaction Sets
3	Free Form Message
4	Air Carrier Code
5	Airport Code
7	Bank Account Number
8	Bank Client Code
9	Late Reason Code
11	Billing Code
12	Payment Pattern
13	Booking Number
14	Carriage Value
16	Charge Method of Payment
19	City Name
20	Client Bank Number
21	Number of Shipments
22	Commodity Code
23	Commodity Code Qualifier
24	Equipment Type
26	Country Code
28	Group Control Number
31	Adjustment Number
32	Delivery Date
33	Lading Exception Code
34	Service Standard
35	Disposition Code
39	Entitlement Code
40	Equipment Description Code
41	Interchange Train Identification
42	Block Identification
46	Ex Parte
47	Export Filing Key Code
48	Export License Control Code
50	Export License Number
51	Export License Status Code
52	Export License Symbol Code
54	Risk of Loss Code
55	Flight/Voyage Number
56	Type of Service Code
58	Charge
59	Freight Class Code
60	Freight Rate
61	Free-Form Message
62	Hazardous Material Code
63	Hazardous Material Contact
64	Hazardous Material Description
65	Height
66	Identification Code Qualifier
67	Identification Code
68	Import License Expiration Date
69	Import License Issue Date
70	Import License Number
71	Inquiry Request Number
72	Type of Service Offered Code
73	Compensation Qualifier
74	Declared Value
76	Invoice Number
77	Flashpoint Temperature
78	Container Type Request Code
79	Lading Description
80	Lading Quantity
81	Weight
82	Length
83	Licensing Agency Code
86	Total Equipment
87	Marks and Numbers
88	Marks and Numbers Qualifier
90	Measurement Unit Qualifier
91	Transportation Method/Type Code
92	Purchase Order Type Code
93	Name
95	Number of Containers
96	Number of Included Segments
97	Number of Transaction Sets Included
98	Entity Identifier Code
100	Currency Code
102	Ownership Code
103	Packaging Code
104	Type of Bankruptcy Code
106	Event
107	Payment Method Code
108	Pick-up or Delivery Code
109	Pick-up Date
110	Application Acknowledgment Code
111	Pick-up Time
112	Pier Name
113	Pier Number
114	Port Name
115	Port or Terminal Function Code
116	Postal Code
117	Prepaid Amount
118	Rate
119	Rate Basis Number
120	Rate Combination Point Code
121	Rate Class Code
122	Rate/Value Qualifier
123	Number of Received Transaction Sets
124	Application Receiver's Code
127	Reference Identification
128	Reference Identification Qualifier
129	Referenced Pattern Identifier
132	Release Code
133	Routing Sequence Code
135	Sailing/Flight Date Estimated
136	Sales Comment
137	Sales Reference Date
138	Sales Reference Number
139	Sales Terms Code
140	Standard Carrier Alpha Code
141	Schedule B Code
142	Application Sender's Code
143	Transaction Set Identifier Code
145	Shipment Identification Number
146	Shipment Method of Payment
147	Shipment Qualifier
148	Lading Value
150	Special Charge or Allowance Code
151	Authority
152	Special Handling Code
153	Special Handling Description
154	Standard Point Location Code
156	State or Province Code
157	Shipment Status Code
158	Status Date
159	Status Location
160	Status Report Request Code
161	Status Time
163	Stop Reason Code
165	Stop Sequence Number
166	Address Information
167	Tare Weight
168	Tariff Agency Code
169	Tariff Item Number
170	Tariff Item Part
171	Tariff Number
172	Tariff Section
173	Tariff Supplement Identifier
174	Terminal Name
176	Time Qualifier
177	Intermodal Service Code
181	Quantity or Status Adjustment Reason Code
182	Vessel Name
183	Volume
184	Volume Unit Qualifier
