id	name	type	min	max	description
1	Route Code	AN	1	13	Mutually defined route code
2	Number of Accepted Transaction Sets	N0	1	6	Number of accepted Transaction Sets in a Functional Group
3	Free Form Message	AN	1	60	Free-form text
4	Air Carrier Code	ID	3	3	Code (IATA) for the air carrier
5	Airport Code	ID	3	5	Code (IATA) for airport
7	Bank Account Number	AN	6	17	ID number assigned by bank to its client
8	Bank Client Code	ID	1	1	Code identifying payee or payer
9	Late Reason Code	ID	2	2	Identifies the reason for tardiness
11	Billing Code	ID	1	1	Code indicating type of Bill
12	Payment Pattern	AN	1	84	To identify a monthly payment pattern over time
13	Booking Number	AN	1	17	Number assigned by the carrier for space reservation
14	Carriage Value	N0	2	8	Carriage value expressed in whole units of the standard monetary denomination for the currency specified
16	Charge Method of Payment	ID	1	1	Code defining method of payment
19	City Name	AN	2	30	Free-form text for city name
20	Client Bank Number	AN	3	9	Federal Reserve Routing Code
21	Number of Shipments	N0	1	5	Total number of shipments on this transaction
22	Commodity Code	AN	1	30	Code describing a commodity or group of commodities
23	Commodity Code Qualifier	ID	1	1	Code identifying the commodity coding system used for Commodity Code
24	Equipment Type	ID	4	4	Code identifying equipment type
26	Country Code	ID	2	3	Code identifying the country
28	Group Control Number	N0	1	9	Assigned number originated and maintained by the sender
31	Adjustment Number	AN	1	22	Identification assigned to an inventory level or status adjustment
32	Delivery Date	DT	8	8	Date for delivery of cargo to final consignee or to next mode expressed in format CCYYMMDD
33	Lading Exception Code	ID	1	1	Code indicating the condition of the shipment
34	Service Standard	N1	1	4	To report the time period of carrier's standard service for the shipment
35	Disposition Code	ID	2	2	Code advising the carrier or port authority about postings to a bill of lading
39	Entitlement Code	ID	1	1	Code identifying entitlement party
40	Equipment Description Code	ID	2	2	Code identifying type of equipment used for shipment
41	Interchange Train Identification	AN	1	10	Train identification (free-form)
42	Block Identification	AN	1	12	Identifier for a block of cars
46	Ex Parte	AN	4	4	Level of rates as published in the tariff
47	Export Filing Key Code	ID	1	1	Code indicating the type of communications with customs
48	Export License Control Code	ID	1	1	Code indicating the type of control applicable to the export license
50	Export License Number	AN	6	12	Government assigned identification number for exporter
51	Export License Status Code	ID	1	1	Code defining whether the shipment completes the terms of the license, or the shipment is only a partial delivery relative to the license terms
52	Export License Symbol Code	ID	1	2	Code which specifies the export symbol marked on a shipment
54	Risk of Loss Code	ID	2	2	Code specifying where responsibility for risk of loss passes
55	Flight/Voyage Number	AN	2	10	Identifying designator for the particular flight or voyage on which the cargo travels
