id	description	section	req	max_loop	max_usage	pos
W17	Warehouse Receipt Identification	H	M	0	1	1
N1	Party Identification	H	M	10	1	2
N2	Additional Name Information	H	O	0	1	3
N3	Party Location	H	O	0	2	4
N4	Geographic Location	H	O	0	1	5
PER	Administrative Communications Contact	H	O	0	5	6
N9	Extended Reference Information	H	O	0	10	7
G61	Contact	H	O	0	3	8
G62	Date/Time	H	O	0	5	9
NTE	Note/Special Instruction	H	O	0	20	10
W08	Receipt Carrier Information	H	O	0	1	11
W18	Probe Temperatures	H	O	0	10	12
G08	Pallet Receipt Disposition	H	O	0	2	13
TD1	Carrier Details (Quantity And Weight)	H	O	0	5	14
LX	Transaction Set Line Number	D	M	999999	1	15
MAN	Marks And Numbers Information	D	O	0	1	16
PAL	Pallet Type And Load Characteristics	D	O	0	999999	17
N9	Extended Reference Information	D	O	0	5	18
W07	Item Detail For Stock Receipt	D	O	9999	1	19
G69	Line Item Detail - Description	D	O	0	5	20
N9	Extended Reference Information	D	O	0	200	21
W20	Line Item Detail - Packing	D	O	0	2	22
W13	Item Detail Exception	D	O	50	1	23
N9	Extended Reference Information	D	O	0	200	24
W14	Total Receipt Information	S	M	0	1	25
