id	description
AAA	Request Validation
ACD	Account Description
ACK	Line Item Acknowledgment
ACS	Ancillary Charges
ACT	Account Identification
AD1	Adjustment Amount
ADI	Animal Disposition
ADJ	Adjustments To Balances Or Services
ADT	Animal Parturition Status
ADV	Advertising Demographic Information
ADX	Adjustment
AEI	Equipment Information Summary
AES	Automatic Equipment Identification Site Information
AIN	Income
AK1	Functional Group Response Header
AK2	Transaction Set Response Header
AK3	Data Segment Note
AK4	Data Element Note
AK5	Transaction Set Response Trailer
AK9	Functional Group Response Trailer
AM1	Informational Values
AMT	Monetary Amount Information
ANI	Animal Identification
AOC	Animal Offspring Counts
AOI	Animal Offspring/Fetus Identification
AOL	Animal Observation Location
AOR	Animal Observation Result
AP1	Alternate Parts
APE	Assurance Protocol Error
API	Activity Or Process Information
APR	Association Of American Railroads Pool Code Restrictions
ARC	Animal Results Counts
ARS	Applicant Residence Specifics
ASI	Action Or Status Indicator
ASL	Asset Liability
ASM	Amount And Settlement Method
ASO	Asset Ownership
AST	Animal Reproductive Status
AT1	Bill Of Lading Line Item Number
AT2	Bill Of Lading Line Item Detail
AT3	Bill Of Lading Rates And Charges
AT4	Bill Of Lading Description
AT5	Bill Of Lading Handling Requirements
AT6	International Manifest Information
AT7	Shipment Status Details
AT8	Shipment Weight, Packaging And Quantity Data
AT9	Trailer Or Container Dimension And Weight
ATA	Beginning Segment For Motor Carrier Delivery Trailer Manifest
ATH	Resource Authorization
ATN	Attendance
ATR	Animal Test Result
ATV	Student Activities And Awards
AVA	Funds Availability
AWD	Amount With Description
AXL	Vehicle Axle Measurements
B1	Beginning Segment For Booking Or Pickup/Delivery
B10	Beginning Segment For Transportation Carrier Shipment Status Mess
B11	Beginning Segment For Shipment Status Inquiry
B12	Beginning Segment For Consolidation Of Goods In Container
B13	Beginning Segment For Appointment Schedule
B2	Beginning Segment For Shipment Information Transaction
B2A	Set Purpose
B3	Beginning Segment For Carrier's Invoice
B3A	Invoice Type
B3B	Beginning Segment For Rail Carrier's Invoice
B4	Beginning Segment For Inquiry Or Reply
B9	Beginning Segment For Logistics Services
B9A	Service Request
BA1	Export Shipment Identifying Information
BA2	Beginning Segment For Cargo Terminal Information
BAA	Beginning Segment For Product Transfer Account Adjustment
BAK	Beginning Segment For Purchase Order Acknowledgment
BAL	Balance Detail
BAT	Batch
BAU	Beginning Segment For The Debit Authorization
BAX	Beginning Segment For Advance Consist And Transportation Automati
BBC	Legal Claims
BC	Beginning Segment For Contract Completion Status
BCA	Beginning Segment For Purchase Order Change Acknowledgment
BCD	Beginning Credit/Debit Adjustment
BCH	Beginning Segment For Purchase Order Change
BCI	Basic Claim Information
BCM	Beginning Segment For Contractor Cost Data Reporting
BCO	Beginning Segment For Procurement Notices
BCP	Beginning Segment For Contract Pricing Proposal
BCQ	Beginning Segment For Shipper's Car Order
BCS	Beginning Segment For Project Cost Reporting
BCT	Beginning Segment For Price/Sales Catalog
BCU	Legal Claim Updates
BDD	Beginning Segment For Shipment Delivery Discrepancy Information
BDS	Binary Data Structure
BEG	Beginning Segment For Purchase Order
BEN	Beneficiary Or Owner Information
BEP	Borrower Education Program
BFR	Beginning Segment For Planning Schedule
BFS	Borrower Financial Summary
BGF	Beginning Segment For File Transfer Information
BGN	Beginning Segment
BGP	Beginning Segment For Problem Log Inquiry Or Advice
BHT	Beginning Of Hierarchical Transaction
BIA	Beginning Segment For Inventory Inquiry/Advice
BIG	Beginning Segment For Invoice
BIN	Binary Data Segment
BIX	Beginning Segment For Automotive Inspection
BJF	Beginning Segment Railroad Junctions And Interchanges Update Acti
BL	Billing Information
BLI	Basic Baseline Item Data
BLN	Balance Information
BLR	Transportation Carrier Identification
BLS	Beginning Segment For Asset Schedule
BMA	Beginning Segment For Market Development Fund Allocation
BMG	Beginning Segment For Text Message
BMM	Beginning Segment For Multilevel Railcar Load Details Transaction
BMP	Beginning Segment For Market Development Fund Settlement
BMS	Beginning Segment For Material Safety Data Sheet
BNR	Beginning Segment For Nonconformance Report
BNX	Rail Shipment Information
BOL	Beginning Segment For The Motor Carrier Bill Of Lading
BOR	Beginning Of Report
BOS	Beginning Segment For Joint Interest Billing And Operating Expens
BOX	Box Office Detail
BPA	Beginning Segment For Price Authorization Acknowledgment/Status
